"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Algeria","5312","Area harvested","2013","ha","46893.00",""
"Algeria","5312","Area harvested","2012","ha","47376.00",""
"Algeria","5419","Yield","2017","hg/ha","57980.00","Fc"
"Algeria","5419","Yield","2016","hg/ha","67149.00","Fc"
"Algeria","5419","Yield","2015","hg/ha","75530.00","Fc"
"Algeria","5419","Yield","2014","hg/ha","56217.00","Fc"
"Algeria","5419","Yield","2013","hg/ha","68194.00","Fc"
"Algeria","5419","Yield","2012","hg/ha","56845.00","Fc"
"Algeria","5510","Production","2017","tonnes","256890.00",""
"Algeria","5510","Production","2016","tonnes","256771.00",""
"Algeria","5510","Production","2015","tonnes","293486.00",""
"Algeria","5510","Production","2014","tonnes","216941.00",""
"Algeria","5510","Production","2013","tonnes","319784.00",""
"Algeria","5510","Production","2012","tonnes","269308.00",""
"Americas","5312","Area harvested","2017","ha","8116.00","A"
"Americas","5312","Area harvested","2016","ha","8146.00","A"
"Americas","5312","Area harvested","2015","ha","7596.00","A"
"Americas","5312","Area harvested","2014","ha","8306.00","A"
"Americas","5312","Area harvested","2013","ha","8589.00","A"
"Americas","5312","Area harvested","2012","ha","8928.00","A"
"Americas","5419","Yield","2017","hg/ha","96615.00","Fc"
"Americas","5419","Yield","2016","hg/ha","118640.00","Fc"
"Americas","5419","Yield","2015","hg/ha","100882.00","Fc"
"Americas","5419","Yield","2014","hg/ha","119649.00","Fc"
"Americas","5419","Yield","2013","hg/ha","114742.00","Fc"
"Americas","5419","Yield","2012","hg/ha","110164.00","Fc"
"Americas","5510","Production","2017","tonnes","78412.00","A"
"Americas","5510","Production","2016","tonnes","96648.00","A"
"Americas","5510","Production","2015","tonnes","76630.00","A"
"Americas","5510","Production","2014","tonnes","99379.00","A"
"Americas","5510","Production","2013","tonnes","98556.00","A"
"Americas","5510","Production","2012","tonnes","98352.00","A"
"Argentina","5312","Area harvested","2017","ha","2340.00","Im"
"Argentina","5312","Area harvested","2016","ha","2339.00","Im"
"Argentina","5312","Area harvested","2015","ha","2339.00","Im"
"Argentina","5312","Area harvested","2014","ha","2366.00","Im"
"Argentina","5312","Area harvested","2013","ha","2361.00","Im"
"Argentina","5312","Area harvested","2012","ha","2364.00","Im"
"Argentina","5419","Yield","2017","hg/ha","114688.00","Fc"
"Argentina","5419","Yield","2016","hg/ha","114290.00","Fc"
"Argentina","5419","Yield","2015","hg/ha","114976.00","Fc"
"Argentina","5419","Yield","2014","hg/ha","113177.00","Fc"
"Argentina","5419","Yield","2013","hg/ha","112353.00","Fc"
"Argentina","5419","Yield","2012","hg/ha","111664.00","Fc"
"Argentina","5510","Production","2017","tonnes","26836.00","Im"
"Argentina","5510","Production","2016","tonnes","26737.00","Im"
"Argentina","5510","Production","2015","tonnes","26894.00","Im"
"Argentina","5510","Production","2014","tonnes","26776.00","Im"
"Argentina","5510","Production","2013","tonnes","26523.00","Im"
"Argentina","5510","Production","2012","tonnes","26397.00","Im"
"Armenia","5312","Area harvested","2017","ha","10507.00",""
"Armenia","5312","Area harvested","2016","ha","9531.00",""
"Armenia","5312","Area harvested","2015","ha","9242.00",""
"Armenia","5312","Area harvested","2014","ha","9027.00",""
"Armenia","5312","Area harvested","2013","ha","8890.00",""
"Armenia","5312","Area harvested","2012","ha","8221.00",""
"Armenia","5419","Yield","2017","hg/ha","83107.00","Fc"
"Armenia","5419","Yield","2016","hg/ha","65108.00","Fc"
"Armenia","5419","Yield","2015","hg/ha","125869.00","Fc"
"Armenia","5419","Yield","2014","hg/ha","46206.00","Fc"
"Armenia","5419","Yield","2013","hg/ha","100134.00","Fc"
"Armenia","5419","Yield","2012","hg/ha","92672.00","Fc"
"Armenia","5510","Production","2017","tonnes","87320.00",""
"Armenia","5510","Production","2016","tonnes","62054.00",""
"Armenia","5510","Production","2015","tonnes","116328.00",""
"Armenia","5510","Production","2014","tonnes","41710.00",""
"Armenia","5510","Production","2013","tonnes","89019.00",""
"Armenia","5510","Production","2012","tonnes","76186.00",""
"Asia","5312","Area harvested","2017","ha","366698.00","A"
"Asia","5312","Area harvested","2016","ha","407265.00","A"
"Asia","5312","Area harvested","2015","ha","367826.00","A"
"Asia","5312","Area harvested","2014","ha","363958.00","A"
"Asia","5312","Area harvested","2013","ha","358059.00","A"
"Asia","5312","Area harvested","2012","ha","332411.00","A"
"Asia","5419","Yield","2017","hg/ha","71344.00","Fc"
"Asia","5419","Yield","2016","hg/ha","72353.00","Fc"
"Asia","5419","Yield","2015","hg/ha","63935.00","Fc"
"Asia","5419","Yield","2014","hg/ha","50021.00","Fc"
"Asia","5419","Yield","2013","hg/ha","69417.00","Fc"
"Asia","5419","Yield","2012","hg/ha","69044.00","Fc"
"Asia","5510","Production","2017","tonnes","2616154.00","A"
"Asia","5510","Production","2016","tonnes","2946692.00","A"
"Asia","5510","Production","2015","tonnes","2351709.00","A"
"Asia","5510","Production","2014","tonnes","1820573.00","A"
"Asia","5510","Production","2013","tonnes","2485533.00","A"
"Asia","5510","Production","2012","tonnes","2295087.00","A"
"Australia","5312","Area harvested","2017","ha","7151.00","Im"
"Australia","5312","Area harvested","2016","ha","4592.00","Im"
"Australia","5312","Area harvested","2015","ha","7652.00","Im"
"Australia","5312","Area harvested","2014","ha","6250.00","F"
"Australia","5312","Area harvested","2013","ha","6320.00","F"
"Australia","5312","Area harvested","2012","ha","6300.00","F"
"Australia","5419","Yield","2017","hg/ha","7483.00","Fc"
"Australia","5419","Yield","2016","hg/ha","18944.00","Fc"
"Australia","5419","Yield","2015","hg/ha","12642.00","Fc"
"Australia","5419","Yield","2014","hg/ha","14781.00","Fc"
"Australia","5419","Yield","2013","hg/ha","18277.00","Fc"
"Australia","5419","Yield","2012","hg/ha","19343.00","Fc"
"Australia","5510","Production","2017","tonnes","5351.00",""
"Australia","5510","Production","2016","tonnes","8700.00",""
"Australia","5510","Production","2015","tonnes","9674.00","Im"
"Australia","5510","Production","2014","tonnes","9238.00","Im"
"Australia","5510","Production","2013","tonnes","11551.00","Im"
"Australia","5510","Production","2012","tonnes","12186.00","Im"
"Australia and New Zealand","5312","Area harvested","2017","ha","7596.00","A"
"Australia and New Zealand","5312","Area harvested","2016","ha","5032.00","A"
"Australia and New Zealand","5312","Area harvested","2015","ha","8112.00","A"
"Australia and New Zealand","5312","Area harvested","2014","ha","6780.00","A"
"Australia and New Zealand","5312","Area harvested","2013","ha","6777.00","A"
"Australia and New Zealand","5312","Area harvested","2012","ha","6734.00","A"
"Australia and New Zealand","5419","Yield","2017","hg/ha","11265.00","Fc"
"Australia and New Zealand","5419","Yield","2016","hg/ha","23648.00","Fc"
"Australia and New Zealand","5419","Yield","2015","hg/ha","16076.00","Fc"
"Australia and New Zealand","5419","Yield","2014","hg/ha","19390.00","Fc"
"Australia and New Zealand","5419","Yield","2013","hg/ha","22116.00","Fc"
"Australia and New Zealand","5419","Yield","2012","hg/ha","22992.00","Fc"
"Australia and New Zealand","5510","Production","2017","tonnes","8557.00","A"
"Australia and New Zealand","5510","Production","2016","tonnes","11899.00","A"
"Australia and New Zealand","5510","Production","2015","tonnes","13042.00","A"
"Australia and New Zealand","5510","Production","2014","tonnes","13146.00","A"
"Australia and New Zealand","5510","Production","2013","tonnes","14987.00","A"
"Australia and New Zealand","5510","Production","2012","tonnes","15483.00","A"
"Austria","5312","Area harvested","2017","ha","788.00",""
"Austria","5312","Area harvested","2016","ha","788.00",""
"Austria","5312","Area harvested","2015","ha","737.00",""
"Austria","5312","Area harvested","2014","ha","766.00",""
"Austria","5312","Area harvested","2013","ha","768.00",""
"Austria","5312","Area harvested","2012","ha","584.00",""
"Austria","5419","Yield","2017","hg/ha","82284.00","Fc"
"Austria","5419","Yield","2016","hg/ha","66702.00","Fc"
"Austria","5419","Yield","2015","hg/ha","117674.00","Fc"
"Austria","5419","Yield","2014","hg/ha","112164.00","Fc"
"Austria","5419","Yield","2013","hg/ha","158819.00","Fc"
"Austria","5419","Yield","2012","hg/ha","49753.00","Fc"
"Austria","5510","Production","2017","tonnes","6484.00",""
"Austria","5510","Production","2016","tonnes","5257.00",""
"Austria","5510","Production","2015","tonnes","8669.00",""
"Austria","5510","Production","2014","tonnes","8590.00",""
"Austria","5510","Production","2013","tonnes","12202.00",""
"Austria","5510","Production","2012","tonnes","2906.00",""
"Azerbaijan","5312","Area harvested","2017","ha","3013.00",""
"Azerbaijan","5312","Area harvested","2016","ha","2979.00",""
"Azerbaijan","5312","Area harvested","2015","ha","2875.00",""
"Azerbaijan","5312","Area harvested","2014","ha","2712.00",""
"Azerbaijan","5312","Area harvested","2013","ha","2678.00",""
"Azerbaijan","5312","Area harvested","2012","ha","2603.00",""
"Azerbaijan","5419","Yield","2017","hg/ha","89346.00","Fc"
"Azerbaijan","5419","Yield","2016","hg/ha","85231.00","Fc"
"Azerbaijan","5419","Yield","2015","hg/ha","83377.00","Fc"
"Azerbaijan","5419","Yield","2014","hg/ha","80007.00","Fc"
"Azerbaijan","5419","Yield","2013","hg/ha","89332.00","Fc"
"Azerbaijan","5419","Yield","2012","hg/ha","92017.00","Fc"
"Azerbaijan","5510","Production","2017","tonnes","26920.00",""
"Azerbaijan","5510","Production","2016","tonnes","25387.00",""
"Azerbaijan","5510","Production","2015","tonnes","23971.00",""
"Azerbaijan","5510","Production","2014","tonnes","21698.00",""
"Azerbaijan","5510","Production","2013","tonnes","23923.00",""
"Azerbaijan","5510","Production","2012","tonnes","23952.00",""
"Bosnia and Herzegovina","5312","Area harvested","2017","ha","713.00","Im"
"Bosnia and Herzegovina","5312","Area harvested","2016","ha","573.00","Im"
"Bosnia and Herzegovina","5312","Area harvested","2015","ha","535.00","Im"
"Bosnia and Herzegovina","5312","Area harvested","2014","ha","500.00","F"
"Bosnia and Herzegovina","5312","Area harvested","2013","ha","600.00","F"
"Bosnia and Herzegovina","5312","Area harvested","2012","ha","600.00","F"
"Bosnia and Herzegovina","5419","Yield","2017","hg/ha","16857.00","Fc"
"Bosnia and Herzegovina","5419","Yield","2016","hg/ha","17465.00","Fc"
"Bosnia and Herzegovina","5419","Yield","2015","hg/ha","17399.00","Fc"
"Bosnia and Herzegovina","5419","Yield","2014","hg/ha","16100.00","Fc"
"Bosnia and Herzegovina","5419","Yield","2013","hg/ha","17467.00","Fc"
"Bosnia and Herzegovina","5419","Yield","2012","hg/ha","17183.00","Fc"
"Bosnia and Herzegovina","5510","Production","2017","tonnes","1203.00",""
"Bosnia and Herzegovina","5510","Production","2016","tonnes","1000.00",""
"Bosnia and Herzegovina","5510","Production","2015","tonnes","930.00",""
"Bosnia and Herzegovina","5510","Production","2014","tonnes","805.00",""
"Bosnia and Herzegovina","5510","Production","2013","tonnes","1048.00",""
"Bosnia and Herzegovina","5510","Production","2012","tonnes","1031.00",""
"Bulgaria","5312","Area harvested","2017","ha","2898.00",""
"Bulgaria","5312","Area harvested","2016","ha","2554.00",""
"Bulgaria","5312","Area harvested","2015","ha","2481.00",""
"Bulgaria","5312","Area harvested","2014","ha","1735.00",""
"Bulgaria","5312","Area harvested","2013","ha","2325.00",""
"Bulgaria","5312","Area harvested","2012","ha","2569.00",""
"Bulgaria","5419","Yield","2017","hg/ha","77785.00","Fc"
"Bulgaria","5419","Yield","2016","hg/ha","60701.00","Fc"
"Bulgaria","5419","Yield","2015","hg/ha","57150.00","Fc"
"Bulgaria","5419","Yield","2014","hg/ha","65516.00","Fc"
"Bulgaria","5419","Yield","2013","hg/ha","77523.00","Fc"
"Bulgaria","5419","Yield","2012","hg/ha","39689.00","Fc"
"Bulgaria","5510","Production","2017","tonnes","22542.00",""
"Bulgaria","5510","Production","2016","tonnes","15503.00",""
"Bulgaria","5510","Production","2015","tonnes","14179.00",""
"Bulgaria","5510","Production","2014","tonnes","11367.00",""
"Bulgaria","5510","Production","2013","tonnes","18024.00",""
"Bulgaria","5510","Production","2012","tonnes","10196.00",""
"Cameroon","5312","Area harvested","2017","ha","179.00","Im"
"Cameroon","5312","Area harvested","2016","ha","189.00","Im"
"Cameroon","5312","Area harvested","2015","ha","183.00","Im"
"Cameroon","5312","Area harvested","2014","ha","179.00","Im"
"Cameroon","5312","Area harvested","2013","ha","169.00","Im"
"Cameroon","5312","Area harvested","2012","ha","150.00","F"
"Cameroon","5419","Yield","2017","hg/ha","53140.00","Fc"
"Cameroon","5419","Yield","2016","hg/ha","52662.00","Fc"
"Cameroon","5419","Yield","2015","hg/ha","51896.00","Fc"
"Cameroon","5419","Yield","2014","hg/ha","51052.00","Fc"
"Cameroon","5419","Yield","2013","hg/ha","51832.00","Fc"
"Cameroon","5419","Yield","2012","hg/ha","56667.00","Fc"
"Cameroon","5510","Production","2017","tonnes","953.00","Im"
"Cameroon","5510","Production","2016","tonnes","996.00","Im"
"Cameroon","5510","Production","2015","tonnes","950.00","Im"
"Cameroon","5510","Production","2014","tonnes","914.00","Im"
"Cameroon","5510","Production","2013","tonnes","875.00","Im"
"Cameroon","5510","Production","2012","tonnes","850.00","F"
"Canada","5312","Area harvested","2017","ha","111.00",""
"Canada","5312","Area harvested","2016","ha","127.00",""
"Canada","5312","Area harvested","2015","ha","124.00",""
"Canada","5312","Area harvested","2014","ha","113.00",""
"Canada","5312","Area harvested","2013","ha","83.00",""
"Canada","5312","Area harvested","2012","ha","97.00",""
"Canada","5419","Yield","2017","hg/ha","93514.00","Fc"
"Canada","5419","Yield","2016","hg/ha","101811.00","Fc"
"Canada","5419","Yield","2015","hg/ha","97500.00","Fc"
"Canada","5419","Yield","2014","hg/ha","90796.00","Fc"
"Canada","5419","Yield","2013","hg/ha","78795.00","Fc"
"Canada","5419","Yield","2012","hg/ha","65979.00","Fc"
"Canada","5510","Production","2017","tonnes","1038.00",""
"Canada","5510","Production","2016","tonnes","1293.00",""
"Canada","5510","Production","2015","tonnes","1209.00",""
"Canada","5510","Production","2014","tonnes","1026.00",""
"Canada","5510","Production","2013","tonnes","654.00",""
"Canada","5510","Production","2012","tonnes","640.00",""
"Caribbean","5510","Production","2017","tonnes","27.00","A"
"Caribbean","5510","Production","2016","tonnes","26.00","A"
"Caribbean","5510","Production","2015","tonnes","26.00","A"
"Caribbean","5510","Production","2014","tonnes","26.00","A"
"Caribbean","5510","Production","2013","tonnes","26.00","A"
"Caribbean","5510","Production","2012","tonnes","26.00","A"
"Central America","5312","Area harvested","2017","ha","163.00","A"
"Central America","5312","Area harvested","2016","ha","167.00","A"
"Central America","5312","Area harvested","2015","ha","179.00","A"
"Central America","5312","Area harvested","2014","ha","181.00","A"
"Central America","5312","Area harvested","2013","ha","178.00","A"
"Central America","5312","Area harvested","2012","ha","300.00","A"
"Central America","5419","Yield","2017","hg/ha","51034.00","Fc"
"Central America","5419","Yield","2016","hg/ha","50917.00","Fc"
"Central America","5419","Yield","2015","hg/ha","60847.00","Fc"
"Central America","5419","Yield","2014","hg/ha","50968.00","Fc"
"Central America","5419","Yield","2013","hg/ha","55955.00","Fc"
"Central America","5419","Yield","2012","hg/ha","37667.00","Fc"
"Central America","5510","Production","2017","tonnes","833.00","A"
"Central America","5510","Production","2016","tonnes","848.00","A"
"Central America","5510","Production","2015","tonnes","1087.00","A"
"Central America","5510","Production","2014","tonnes","922.00","A"
"Central America","5510","Production","2013","tonnes","996.00","A"
"Central America","5510","Production","2012","tonnes","1130.00","A"
"Central Asia","5312","Area harvested","2017","ha","66764.00","A"
"Central Asia","5312","Area harvested","2016","ha","121764.00","A"
"Central Asia","5312","Area harvested","2015","ha","74115.00","A"
"Central Asia","5312","Area harvested","2014","ha","73415.00","A"
"Central Asia","5312","Area harvested","2013","ha","69686.00","A"
"Central Asia","5312","Area harvested","2012","ha","66048.00","A"
"Central Asia","5419","Yield","2017","hg/ha","95934.00","Fc"
"Central Asia","5419","Yield","2016","hg/ha","117658.00","Fc"
"Central Asia","5419","Yield","2015","hg/ha","96224.00","Fc"
"Central Asia","5419","Yield","2014","hg/ha","89980.00","Fc"
"Central Asia","5419","Yield","2013","hg/ha","84259.00","Fc"
"Central Asia","5419","Yield","2012","hg/ha","80673.00","Fc"
"Central Asia","5510","Production","2017","tonnes","640493.00","A"
"Central Asia","5510","Production","2016","tonnes","1432656.00","A"
"Central Asia","5510","Production","2015","tonnes","713170.00","A"
"Central Asia","5510","Production","2014","tonnes","660586.00","A"
"Central Asia","5510","Production","2013","tonnes","587171.00","A"
"Central Asia","5510","Production","2012","tonnes","532830.00","A"
"Chile","5312","Area harvested","2017","ha","753.00",""
"Chile","5312","Area harvested","2016","ha","887.00",""
"Chile","5312","Area harvested","2015","ha","886.00",""
"Chile","5312","Area harvested","2014","ha","1094.00",""
"Chile","5312","Area harvested","2013","ha","1406.00",""
"Chile","5312","Area harvested","2012","ha","1406.00",""
"Chile","5419","Yield","2017","hg/ha","101677.00","Fc"
"Chile","5419","Yield","2016","hg/ha","101690.00","Fc"
"Chile","5419","Yield","2015","hg/ha","101744.00","Fc"
"Chile","5419","Yield","2014","hg/ha","101697.00","Fc"
"Chile","5419","Yield","2013","hg/ha","102195.00","Fc"
"Chile","5419","Yield","2012","hg/ha","102177.00","Fc"
"Chile","5510","Production","2017","tonnes","7656.00","Im"
"Chile","5510","Production","2016","tonnes","9024.00","Im"
"Chile","5510","Production","2015","tonnes","9018.00","Im"
"Chile","5510","Production","2014","tonnes","11126.00","Im"
"Chile","5510","Production","2013","tonnes","14369.00","Im"
"Chile","5510","Production","2012","tonnes","14366.00","Im"
"China","5312","Area harvested","2017","ha","23526.00","A"
"China","5312","Area harvested","2016","ha","23081.00","A"
"China","5312","Area harvested","2015","ha","22211.00","A"
"China","5312","Area harvested","2014","ha","21579.00","A"
"China","5312","Area harvested","2013","ha","20889.00","A"
"China","5312","Area harvested","2012","ha","20614.00","A"
"China","5419","Yield","2017","hg/ha","30902.00","Fc"
"China","5419","Yield","2016","hg/ha","31227.00","Fc"
"China","5419","Yield","2015","hg/ha","38901.00","Fc"
"China","5419","Yield","2014","hg/ha","40427.00","Fc"
"China","5419","Yield","2013","hg/ha","39082.00","Fc"
"China","5419","Yield","2012","hg/ha","39310.00","Fc"
"China","5510","Production","2017","tonnes","72701.00","A"
"China","5510","Production","2016","tonnes","72074.00","A"
"China","5510","Production","2015","tonnes","86406.00","A"
"China","5510","Production","2014","tonnes","87239.00","A"
"China","5510","Production","2013","tonnes","81638.00","A"
"China","5510","Production","2012","tonnes","81036.00","A"
"China, mainland","5312","Area harvested","2017","ha","19604.00","Im"
"China, mainland","5312","Area harvested","2016","ha","18877.00","Im"
"China, mainland","5312","Area harvested","2015","ha","17982.00","Im"
"China, mainland","5312","Area harvested","2014","ha","17323.00","Im"
"China, mainland","5312","Area harvested","2013","ha","16825.00","Im"
"China, mainland","5312","Area harvested","2012","ha","16131.00","Im"
"China, mainland","5419","Yield","2017","hg/ha","29145.00","Fc"
"China, mainland","5419","Yield","2016","hg/ha","29380.00","Fc"
"China, mainland","5419","Yield","2015","hg/ha","29992.00","Fc"
"China, mainland","5419","Yield","2014","hg/ha","30323.00","Fc"
"China, mainland","5419","Yield","2013","hg/ha","30272.00","Fc"
"China, mainland","5419","Yield","2012","hg/ha","30472.00","Fc"
"China, mainland","5510","Production","2017","tonnes","57136.00","Im"
"China, mainland","5510","Production","2016","tonnes","55461.00","Im"
"China, mainland","5510","Production","2015","tonnes","53933.00","Im"
"China, mainland","5510","Production","2014","tonnes","52530.00","Im"
"China, mainland","5510","Production","2013","tonnes","50932.00","Im"
"China, mainland","5510","Production","2012","tonnes","49156.00","Im"
"Other non-specified areas","5312","Area harvested","2017","ha","3922.00",""
"Other non-specified areas","5312","Area harvested","2016","ha","4204.00",""
"Other non-specified areas","5312","Area harvested","2015","ha","4229.00",""
"Other non-specified areas","5312","Area harvested","2014","ha","4256.00",""
"Other non-specified areas","5312","Area harvested","2013","ha","4064.00",""
"Other non-specified areas","5312","Area harvested","2012","ha","4483.00",""
"Other non-specified areas","5419","Yield","2017","hg/ha","39686.00","Fc"
"Other non-specified areas","5419","Yield","2016","hg/ha","39517.00","Fc"
"Other non-specified areas","5419","Yield","2015","hg/ha","76786.00","Fc"
"Other non-specified areas","5419","Yield","2014","hg/ha","81553.00","Fc"
"Other non-specified areas","5419","Yield","2013","hg/ha","75556.00","Fc"
"Other non-specified areas","5419","Yield","2012","hg/ha","71113.00","Fc"
"Other non-specified areas","5510","Production","2017","tonnes","15565.00",""
"Other non-specified areas","5510","Production","2016","tonnes","16613.00",""
"Other non-specified areas","5510","Production","2015","tonnes","32473.00",""
"Other non-specified areas","5510","Production","2014","tonnes","34709.00",""
"Other non-specified areas","5510","Production","2013","tonnes","30706.00",""
"Other non-specified areas","5510","Production","2012","tonnes","31880.00",""
"Croatia","5312","Area harvested","2017","ha","279.00",""
"Croatia","5312","Area harvested","2016","ha","278.00",""
"Croatia","5312","Area harvested","2015","ha","337.00",""
"Croatia","5312","Area harvested","2014","ha","302.00",""
"Croatia","5312","Area harvested","2013","ha","289.00",""
"Croatia","5312","Area harvested","2012","ha","258.00",""
"Croatia","5419","Yield","2017","hg/ha","26022.00","Fc"
"Croatia","5419","Yield","2016","hg/ha","21691.00","Fc"
"Croatia","5419","Yield","2015","hg/ha","15816.00","Fc"
"Croatia","5419","Yield","2014","hg/ha","12053.00","Fc"
"Croatia","5419","Yield","2013","hg/ha","21765.00","Fc"
"Croatia","5419","Yield","2012","hg/ha","9457.00","Fc"
"Croatia","5510","Production","2017","tonnes","726.00",""
"Croatia","5510","Production","2016","tonnes","603.00",""
"Croatia","5510","Production","2015","tonnes","533.00",""
"Croatia","5510","Production","2014","tonnes","364.00",""
"Croatia","5510","Production","2013","tonnes","629.00",""
"Croatia","5510","Production","2012","tonnes","244.00",""
"Cyprus","5312","Area harvested","2017","ha","194.00",""
"Cyprus","5312","Area harvested","2016","ha","218.00",""
"Cyprus","5312","Area harvested","2015","ha","259.00",""
"Cyprus","5312","Area harvested","2014","ha","218.00",""
"Cyprus","5312","Area harvested","2013","ha","220.00",""
"Cyprus","5312","Area harvested","2012","ha","261.00",""
"Cyprus","5419","Yield","2017","hg/ha","54742.00","Fc"
"Cyprus","5419","Yield","2016","hg/ha","37569.00","Fc"
"Cyprus","5419","Yield","2015","hg/ha","42085.00","Fc"
"Cyprus","5419","Yield","2014","hg/ha","34771.00","Fc"
"Cyprus","5419","Yield","2013","hg/ha","37455.00","Fc"
"Cyprus","5419","Yield","2012","hg/ha","35517.00","Fc"
"Cyprus","5510","Production","2017","tonnes","1062.00",""
"Cyprus","5510","Production","2016","tonnes","819.00",""
"Cyprus","5510","Production","2015","tonnes","1090.00",""
"Cyprus","5510","Production","2014","tonnes","758.00",""
"Cyprus","5510","Production","2013","tonnes","824.00",""
"Cyprus","5510","Production","2012","tonnes","927.00",""
"Czechia","5312","Area harvested","2017","ha","1104.00",""
"Czechia","5312","Area harvested","2016","ha","1151.00",""
"Czechia","5312","Area harvested","2015","ha","1155.00",""
"Czechia","5312","Area harvested","2014","ha","1211.00",""
"Czechia","5312","Area harvested","2013","ha","1201.00",""
"Czechia","5312","Area harvested","2012","ha","1295.00",""
"Czechia","5419","Yield","2017","hg/ha","9230.00","Fc"
"Czechia","5419","Yield","2016","hg/ha","6794.00","Fc"
"Czechia","5419","Yield","2015","hg/ha","19377.00","Fc"
"Czechia","5419","Yield","2014","hg/ha","19133.00","Fc"
"Czechia","5419","Yield","2013","hg/ha","33239.00","Fc"
"Czechia","5419","Yield","2012","hg/ha","7969.00","Fc"
"Czechia","5510","Production","2017","tonnes","1019.00",""
"Czechia","5510","Production","2016","tonnes","782.00",""
"Czechia","5510","Production","2015","tonnes","2238.00",""
"Czechia","5510","Production","2014","tonnes","2317.00",""
"Czechia","5510","Production","2013","tonnes","3992.00",""
"Czechia","5510","Production","2012","tonnes","1032.00",""
"Eastern Africa","5312","Area harvested","2017","ha","216.00","A"
"Eastern Africa","5312","Area harvested","2016","ha","212.00","A"
"Eastern Africa","5312","Area harvested","2015","ha","210.00","A"
"Eastern Africa","5312","Area harvested","2014","ha","207.00","A"
"Eastern Africa","5312","Area harvested","2013","ha","202.00","A"
"Eastern Africa","5312","Area harvested","2012","ha","201.00","A"
"Eastern Africa","5419","Yield","2017","hg/ha","72295.00","Fc"
"Eastern Africa","5419","Yield","2016","hg/ha","72797.00","Fc"
"Eastern Africa","5419","Yield","2015","hg/ha","73451.00","Fc"
